gender,married,number_of_dependents,number_of_referrals,tenure_in_months,phone_service,avg_monthly_long_distance_charges,avg_monthly_gb_download,paperless_billing,monthly_charge,total_extra_data_charges,total_long_distance_charges,churn,senior,offer_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,multiple_lines_No,multiple_lines_No Phone Service,multiple_lines_Yes,internet_type_Cable,internet_type_DSL,internet_type_Fiber Optic,internet_type_No Internet Service,online_security_No,online_security_No Internet Service,online_security_Yes,online_backup_No,online_backup_No Internet Service,online_backup_Yes,device_protection_plan_No,device_protection_plan_No Internet Service,device_protection_plan_Yes,premium_tech_support_No,premium_tech_support_No Internet Service,premium_tech_support_Yes,streaming_tv_No,streaming_tv_No Internet Service,streaming_tv_Yes,streaming_movies_No,streaming_movies_No Internet Service,streaming_movies_Yes,streaming_music_No,streaming_music_No Internet Service,streaming_music_Yes,unlimited_data_No,unlimited_data_No Internet Service,unlimited_data_Yes,contract_Month-to-Month,contract_One Year,contract_Two Year,payment_method_Bank Withdrawal,payment_method_Credit Card,payment_method_Mailed Check,customer_id
0,1,0,2,9,1,42.39,16.0,1,65.6,0,381.51,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0002-ORFBO
1,0,0,0,9,1,10.69,10.0,0,-4.0,10,96.21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0003-MKNFE
1,0,0,0,4,1,33.65,30.0,1,73.9,0,134.6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0004-TLHLJ
1,1,0,1,13,1,27.82,4.0,1,98.0,0,361.66,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0011-IGKFF
0,1,0,3,3,1,7.38,11.0,1,83.9,0,22.14,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0013-EXCHZ
0,0,3,0,9,1,16.77,73.0,1,69.4,0,150.93,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0013-MHZWF
0,1,0,1,71,1,9.96,14.0,1,109.7,0,707.16,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0013-SMEOE
1,1,0,8,63,1,12.96,7.0,1,84.65,20,816.48,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0014-BMAQU
0,0,0,0,7,1,10.53,21.0,1,48.2,0,73.71,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0015-UOCOJ
0,1,1,3,65,1,28.46,14.0,1,90.45,0,1849.9,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0016-QLJIS
